country_name;country_iso2;state_id;state_name;state_iso2;city_id;city_name;latitude;longitude
Cyprus;CY;749;Famagusta District (Mağusa);04;22102;Áchna;35.05515;33.78388
Egypt;EG;3222;Kafr el-Sheikh;KFS;31784;Al Ḩāmūl;31.31146;31.14766
Egypt;EG;3222;Kafr el-Sheikh;KFS;31810;Disūq;31.13259;30.64784
Egypt;EG;3222;Kafr el-Sheikh;KFS;31814;Fuwwah;31.20365;30.54908
Egypt;EG;3222;Kafr el-Sheikh;KFS;31827;Kafr ash Shaykh;31.11174;30.93991
Egypt;EG;3222;Kafr el-Sheikh;KFS;31837;Markaz Disūq;31.1459;30.71609
Egypt;EG;3222;Kafr el-Sheikh;KFS;31845;Munshāt ‘Alī Āghā;31.15791;30.70177
Egypt;EG;3222;Kafr el-Sheikh;KFS;31870;Sīdī Sālim;31.27133;30.78617
Egypt;EG;3223;Cairo;C;31802;Cairo;30.06263;31.24967
Egypt;EG;3223;Cairo;C;149582;Badr;30.136;31.715
Egypt;EG;3223;Cairo;C;149583;Bulaq;30.053;31.23
Egypt;EG;3223;Cairo;C;149584;El Mataria;30.1295;31.2889
Egypt;EG;3223;Cairo;C;149585;Fustat;30.0;31.23333333
Egypt;EG;3223;Cairo;C;149586;Hadayek El Kobba;30.0967;31.3103
Egypt;EG;3223;Cairo;C;149587;Heliopolis;30.13333333;31.3
Egypt;EG;3223;Cairo;C;149588;Helwan;29.84194444;31.33416667
Egypt;EG;3223;Cairo;C;149589;Maadi;29.9667;31.25
Egypt;EG;3223;Cairo;C;149590;Musturud;30.13881944;31.29241111
Egypt;EG;3223;Cairo;C;149591;New Administrative Capital of Egypt;30.0275;31.765
Egypt;EG;3223;Cairo;C;149592;Shubra;30.0725;31.2408
Egypt;EG;3223;Cairo;C;149593;Tura;29.939279;31.290007
Egypt;EG;3224;Damietta;DT;31794;Az Zarqā;31.20864;31.63528
Egypt;EG;3224;Damietta;DT;31805;Damietta;31.41648;31.81332
Egypt;EG;3224;Damietta;DT;31815;Fāraskūr;31.32977;31.71507
Egypt;EG;3225;Aswan;ASN;31756;Abu Simbel;22.3457;31.61624
Egypt;EG;3225;Aswan;ASN;31791;Aswan;24.09082;32.89942
